2020-05-17T01:26:36.856188,info,,,Web interface can be found at http://localhost:26000
2020-05-17T01:26:36.944457,open test case,,,Test case 1: vulnserver-fuzzcase.no-name.1
2020-05-17T01:26:36.944457,info,,,Type: String. Default value: b'something'. Case 1 of 1441 overall.
2020-05-17T01:26:36.944457,open step,,,Calling procmon pre_send()
2020-05-17T01:26:36.961472,info,,,Opening target connection (127.0.0.1:9999)...
2020-05-17T01:26:36.961472,info,,,Connection opened.
2020-05-17T01:26:36.961472,open step,,,Fuzzing Node 'vulnserver-fuzzcase'
2020-05-17T01:26:36.961472,info,,,Sending 5 bytes...
2020-05-17T01:26:36.961472,send,5,54 52 55 4e 20,b'TRUN '
2020-05-17T01:26:36.961472,open step,,,Contact process monitor
2020-05-17T01:26:36.961472,check,,,procmon.post_send()
2020-05-17T01:26:36.978488,pass,,,No crash detected.
2020-05-17T01:26:36.978488,open step,,,Contact process monitor
2020-05-17T01:26:36.978488,check,,,procmon.post_send()
2020-05-17T01:26:36.995503,pass,,,No crash detected.
2020-05-17T01:26:36.995503,info,,,Closing target connection...
2020-05-17T01:26:36.995503,info,,,Connection closed.
2020-05-17T01:26:37.012519,open test case,,,Test case 2: vulnserver-fuzzcase.no-name.2
2020-05-17T01:26:37.012519,info,,,Type: String. Default value: b'something'. Case 2 of 1441 overall.
2020-05-17T01:26:37.012519,open step,,,Calling procmon pre_send()
2020-05-17T01:26:37.029534,info,,,Opening target connection (127.0.0.1:9999)...
2020-05-17T01:26:37.029534,info,,,Connection opened.
2020-05-17T01:26:37.029534,open step,,,Fuzzing Node 'vulnserver-fuzzcase'
2020-05-17T01:26:37.029534,info,,,Sending 5011 bytes...
